0	0	1
0	6	1
0	24	1
0	47	1
0	54	1
1	1	1
1	63	1
1	25	1
1	15	1
1	38	1
2	2	1
2	61	1
2	43	1
2	42	1
2	85	1
3	3	1
3	39	1
3	62	1
3	77	1
3	57	1
4	4	1
4	50	1
4	48	1
4	101	1
4	18	1
5	5	1
5	82	1
5	45	1
5	65	1
5	8	1
6	6	1
6	0	1
6	24	1
6	54	1
6	47	1
7	7	1
7	80	1
7	95	1
7	47	1
7	24	1
8	8	1
8	45	1
8	65	1
8	41	1
8	25	1
9	9	1
9	58	1
9	72	1
9	84	1
9	68	1
10	10	1
10	71	1
10	44	1
10	80	1
10	7	1
11	11	1
11	16	1
11	19	1
11	97	1
11	99	1
12	12	1
12	21	1
12	40	1
12	100	1
12	67	1
13	13	1
13	81	1
13	36	1
13	96	1
13	32	1
14	14	1
14	25	1
14	27	1
14	82	1
14	91	1
15	15	1
15	88	1
15	89	1
15	75	1
15	67	1
16	16	1
16	11	1
16	19	1
16	97	1
16	99	1
17	17	1
17	58	1
17	84	1
17	70	1
17	41	1
18	18	1
18	70	1
18	34	1
18	101	1
18	64	1
19	19	1
19	97	1
19	16	1
19	11	1
19	99	1
20	20	1
20	30	1
20	77	1
20	37	1
20	62	1
21	21	1
21	40	1
21	12	1
21	56	1
21	67	1
22	22	1
22	76	1
22	39	1
22	3	1
22	81	1
23	23	1
23	20	1
23	52	1
23	37	1
23	30	1
24	24	1
24	47	1
24	80	1
24	0	1
24	6	1
25	25	1
25	8	1
25	45	1
25	41	1
25	26	1
26	26	1
26	41	1
26	18	1
26	70	1
26	8	1
27	27	1
27	82	1
27	29	1
27	25	1
27	45	1
28	28	1
28	90	1
28	57	1
28	62	1
28	77	1
29	29	1
29	27	1
29	82	1
29	25	1
29	91	1
30	30	1
30	20	1
30	77	1
30	62	1
30	37	1
31	31	1
31	98	1
31	87	1
31	94	1
31	92	1
32	32	1
32	39	1
32	81	1
32	36	1
32	57	1
33	33	1
33	37	1
33	52	1
33	78	1
33	20	1
34	34	1
34	64	1
34	18	1
34	60	1
34	70	1
35	35	1
35	49	1
35	99	1
35	11	1
35	19	1
36	36	1
36	96	1
36	13	1
36	81	1
36	32	1
37	37	1
37	52	1
37	20	1
37	78	1
37	33	1
38	38	1
38	63	1
38	1	1
38	89	1
38	15	1
39	39	1
39	3	1
39	32	1
39	81	1
39	62	1
40	40	1
40	21	1
40	100	1
40	67	1
40	12	1
41	41	1
41	8	1
41	26	1
41	65	1
41	17	1
42	42	1
42	54	1
42	61	1
42	43	1
42	6	1
43	43	1
43	85	1
43	42	1
43	61	1
43	54	1
44	44	1
44	71	1
44	48	1
44	50	1
44	101	1
